"candidate","Party","Votes","State","const","winner"
"RAMU KANDULA","Independent",1019,"Andhra Pradesh","Khammam",0
"KALTHI RAMULAMMA","Independent",980,"Andhra Pradesh","Khammam",0
"BUSIREDDY SHANKAR REDDY","Independent",963,"Andhra Pradesh","Khammam",0
"KANAKAM TIRUMALA RAO","Independent",916,"Andhra Pradesh","Khammam",0
"SANAPA POMMAIAH","Independent",886,"Andhra Pradesh","Khammam",0
"MARIKANTI VASUDASU","Independent",877,"Andhra Pradesh","Khammam",0
"KOTHAPALLI GEETHA","Yuvajana Sramika Rythu Congress Party",413191,"Andhra Pradesh","Aruku",1
"GUMMIDI SANDHYARANI","Telugu Desam",321793,"Andhra Pradesh","Aruku",0
"KISHORE CHANDRA DEO","Indian National Congress",52884,"Andhra Pradesh","Aruku",0
"MIDIYAM BABURAO","Communist Party of India  (Marxist)",38898,"Andhra Pradesh","Aruku",0
"KANGALA BALUDORA","Independent",23215,"Andhra Pradesh","Aruku",0
"None of the Above","None of the Above",16532,"Andhra Pradesh","Aruku",0
"CHETTI SANKARARAO","Independent",8951,"Andhra Pradesh","Aruku",0
"BURJABARIKI DHANARAJU","Aam Aadmi Party",8569,"Andhra Pradesh","Aruku",0
"SALLANGI RATNAM","Independent",7688,"Andhra Pradesh","Aruku",0
"BIDDIKA RAMAIAH","Independent",7587,"Andhra Pradesh","Aruku",0
"IILLA RAMI REDDY","Independent",5692,"Andhra Pradesh","Aruku",0
"VANUGU SANKARARAO","Independent",4614,"Andhra Pradesh","Aruku",0
"RAMMOHAN NAIDU KINJARAPU","Telugu Desam",556163,"Andhra Pradesh","Srikakulam",1
"REDDY SHANTHI","Yuvajana Sramika Rythu Congress Party",428591,"Andhra Pradesh","Srikakulam",0
"KILLI KRUPARANI","Indian National Congress",24163,"Andhra Pradesh","Srikakulam",0
"PAIDI RAJA RAO","Jai Samaikyandhra Party",11422,"Andhra Pradesh","Srikakulam",0
"BODDEPALLI RAJARAO","Bahujan Samaj Party",8047,"Andhra Pradesh","Srikakulam",0
"None of the Above","None of the Above",6133,"Andhra Pradesh","Srikakulam",0
"VASUDEVA RAO BODDU","Communist Party of India  (Marxist-Leninist)  (Liberation)",5131,"Andhra Pradesh","Srikakulam",0
"KADIYAM JAYALAKSHMI","Pyramid Party of India",5021,"Andhra Pradesh","Srikakulam",0
"JAIDEV INJARAPU","Aam Aadmi Party",2557,"Andhra Pradesh","Srikakulam",0
"TOTA TEJESWARA RAO","Independent",2144,"Andhra Pradesh","Srikakulam",0
"KINJARAPU TEJESWARA RAO","Independent",2074,"Andhra Pradesh","Srikakulam",0
"ASHOK GAJAPATHI RAJU PUSAPATI","Telugu Desam",536549,"Andhra Pradesh","Vizianagaram",1
"VENKATA SWETHA CHALAPATHI KUMARA KRISHNA RANGARAO RAVU","Yuvajana Sramika Rythu Congress Party",429638,"Andhra Pradesh","Vizianagaram",0
"JHANSI LAKSHMI BOTCHA","Indian National Congress",122487,"Andhra Pradesh","Vizianagaram",0
"None of the Above","None of the Above",6528,"Andhra Pradesh","Vizianagaram",0
"PRASADA RAO NANDA","Pyramid Party of India",6401,"Andhra Pradesh","Vizianagaram",0
"YELLA RAO SIYYADULA","Independent",5125,"Andhra Pradesh","Vizianagaram",0
"BONU KRISHNA","Bahujan Samaj Party",4092,"Andhra Pradesh","Vizianagaram",0
"HARIKISHAN KUPPILI","Independent",3603,"Andhra Pradesh","Vizianagaram",0
"TADIVAKA RAMESH NAIDU","Jai Samaikyandhra Party",3388,"Andhra Pradesh","Vizianagaram",0
"NARU SIMHADRI NAIDU","Aam Aadmi Party",2505,"Andhra Pradesh","Vizianagaram",0
"KAMBHAMPATI HARI BABU","Bharatiya Janata Party",566832,"Andhra Pradesh","Visakhapatnam",1
"Y.S VIJAYAMMA","Yuvajana Sramika Rythu Congress Party",476344,"Andhra Pradesh","Visakhapatnam",0
"BOLISETTI SATYANARAYANA (SATYA)","Indian National Congress",50632,"Andhra Pradesh","Visakhapatnam",0
"IMANDI VENKATA KURMARAO","Bahujan Samaj Party",14947,"Andhra Pradesh","Visakhapatnam",0
"None of the Above","None of the Above",7329,"Andhra Pradesh","Visakhapatnam",0
"SABBAM HARI","Jai Samaikyandhra Party",6644,"Andhra Pradesh","Visakhapatnam",0
"KUNA RAMAM","Aam Aadmi Party",6175,"Andhra Pradesh","Visakhapatnam",0
"TANUKU DIVAKAR","Independent",5418,"Andhra Pradesh","Visakhapatnam",0
"JT RAMARAO","Samaikyandhra Parirakshana Samithi",4323,"Andhra Pradesh","Visakhapatnam",0
"DADI JYOTHI BHAVANI","Pyramid Party of India",2717,"Andhra Pradesh","Visakhapatnam",0
"DURGAPRASAD GUNTU","Independent",2611,"Andhra Pradesh","Visakhapatnam",0
"NAGENDRA SAIRAM","Independent",2377,"Andhra Pradesh","Visakhapatnam",0
"KURADA SATYANARAYANA PATNAIK","Independent",1927,"Andhra Pradesh","Visakhapatnam",0
"KUTIKUPPALA SURYA RAO","Independent",1889,"Andhra Pradesh","Visakhapatnam",0
"SEEMAKURTHI SRINUVASU (BHAGHAVAN SRINU)","Independent",1759,"Andhra Pradesh","Visakhapatnam",0
"UMAMAHESWARARAO ARETI","Independent",1751,"Andhra Pradesh","Visakhapatnam",0
"CHALAPATHIRAO RONANKI","Independent",1594,"Andhra Pradesh","Visakhapatnam",0
"J. PADMAJA","Independent",1540,"Andhra Pradesh","Visakhapatnam",0
"SREENADH REDDY","Independent",1379,"Andhra Pradesh","Visakhapatnam",0
"CHANDRASEKHAR BUDDA","Independent",1348,"Andhra Pradesh","Visakhapatnam",0
"GEDELA KRISHNARAO","Independent",1118,"Andhra Pradesh","Visakhapatnam",0
"BRAHMA SWAROOP KASIBHATTA","Independent",994,"Andhra Pradesh","Visakhapatnam",0
"MUTTAMSETTI SRINIVASA RAO (AVANTHI)","Telugu Desam",568463,"Andhra Pradesh","Anakapalli",1
"GUDIVADA AMARNADH","Yuvajana Sramika Rythu Congress Party",520531,"Andhra Pradesh","Anakapalli",0
"VIJAYA LAKSHMI THOTA","Indian National Congress",17770,"Andhra Pradesh","Anakapalli",0
"KARANAM TIRUPATHI RAO","Bahujan Samaj Party",14834,"Andhra Pradesh","Anakapalli",0
"None of the Above","None of the Above",8604,"Andhra Pradesh","Anakapalli",0
"KONDARAJU JAMPANA","Jai Samaikyandhra Party",6261,"Andhra Pradesh","Anakapalli",0
"VADLAMURI KRISHNA SWAROOP","Dalita Bahujana Party",5506,"Andhra Pradesh","Anakapalli",0
"APPALARAJU SADARAM","Independent",3228,"Andhra Pradesh","Anakapalli",0
"SARISA LEELA PRASANNA KUMARI","Pyramid Party of India",2875,"Andhra Pradesh","Anakapalli",0
"THOTA NARASIMHAM","Telugu Desam",514402,"Andhra Pradesh","Kakinada",1
"CHALAMALASETTY SUNIL","Yuvajana Sramika Rythu Congress Party",510971,"Andhra Pradesh","Kakinada",0
"MALLIPUDI MANGAPATI PALLAM RAJU","Indian National Congress",19754,"Andhra Pradesh","Kakinada",0
"MOTHA SARADA","Republican Party of India (Khobragade)",6836,"Andhra Pradesh","Kakinada",0
"JALLURI VENKATESWARLU (J.V)","Independent",6636,"Andhra Pradesh","Kakinada",0
"TUMMALAPALLI SATYA RAMAKRISHNA","Jai Samaikyandhra Party",6442,"Andhra Pradesh","Kakinada",0
"None of the Above","None of the Above",4358,"Andhra Pradesh","Kakinada",0
"TEKUMUDI VENKATA RAO","Pyramid Party of India",3826,"Andhra Pradesh","Kakinada",0
"DONKA LEELAVATHI","Independent",3756,"Andhra Pradesh","Kakinada",0
"KOLA VENKATA PRASAD VARMA","Rashtriya Janata Dal",3473,"Andhra Pradesh","Kakinada",0
"MUTHABATHULA RATNA KUMAR","Bahujan Samaj Party",2511,"Andhra Pradesh","Kakinada",0
"SRINIVAS DANGETI","Aam Aadmi Party",2356,"Andhra Pradesh","Kakinada",0
"KARRA VENKATA APPALA NARASIMHA RAO","Independent",1907,"Andhra Pradesh","Kakinada",0
"ROKKAM DAYAKAR","Republican Paksha (Khoripa)",1837,"Andhra Pradesh","Kakinada",0
"DONAM NEELAKANTAM","Independent",1697,"Andhra Pradesh","Kakinada",0
"ARJUNARAO YEGUPATI","Communist Party of India  (Marxist-Leninist)  (Liberation)",1495,"Andhra Pradesh","Kakinada",0
"GUTTULA ANNAPURNA SESHAGIRI RAO (BATHPARTY-SESHU)","Independent",1417,"Andhra Pradesh","Kakinada",0
"VINJAMALLA CHITTI BABU","Independent",1400,"Andhra Pradesh","Kakinada",0
"CHAGANTI SURYANARAYANA MURTY","Independent",1236,"Andhra Pradesh","Kakinada",0
"PEPAKAYALA SUBHA RAJENDRA","Independent",1161,"Andhra Pradesh","Kakinada",0
"KUNCHE RAMADAS","Independent",1122,"Andhra Pradesh","Kakinada",0
"MERLA BHAVANI SANKARA PRASAD","Independent",910,"Andhra Pradesh","Kakinada",0
"PRABHAKARA RAO MADIKI","Independent",496,"Andhra Pradesh","Kakinada",0
"DR PANDULA RAVINDRA BABU","Telugu Desam",594547,"Andhra Pradesh","Amalapuram",1
"PINIPE VISWARUPU","Yuvajana Sramika Rythu Congress Party",473971,"Andhra Pradesh","Amalapuram",0
"AITHABATHULA JOGESWARA VENKATA BUTCHI MAHESWARA RAO","Indian National Congress",12182,"Andhra Pradesh","Amalapuram",0
"G.V.HARSHA KUMAR","Jai Samaikyandhra Party",9931,"Andhra Pradesh","Amalapuram",0
"GEDDAM SAMPADA RAO","Bahujan Samaj Party",7219,"Andhra Pradesh","Amalapuram",0
"None of the Above","None of the Above",6141,"Andhra Pradesh","Amalapuram",0
"KUNCHE PEDASATYANARAYANA","Pyramid Party of India",4560,"Andhra Pradesh","Amalapuram",0
"KONKI VENKATA RAO","Republican Paksha (Khoripa)",3233,"Andhra Pradesh","Amalapuram",0
"VIJAYA CHAKRAVARTHY PANTHAGADA","Republican Party of India (Khobragade)",2867,"Andhra Pradesh","Amalapuram",0
"VADDI WINSTON CHURCHILL","Independent",1684,"Andhra Pradesh","Amalapuram",0
"YALANGI RAMESH","Independent",1171,"Andhra Pradesh","Amalapuram",0
"KASI CHANDRAMOULI","Independent",1110,"Andhra Pradesh","Amalapuram",0
"UNDRU GANI RAJU","Independent",862,"Andhra Pradesh","Amalapuram",0
"BHASKARA RAO BUNGA","Independent",824,"Andhra Pradesh","Amalapuram",0
"KOMMU SATYAVATHI","Independent",625,"Andhra Pradesh","Amalapuram",0
"MURALI MOHAN MAGANTI","Telugu Desam",630573,"Andhra Pradesh","Rajahmundry",1
"BODDU VENKATARAMANA CHOWDARY","Yuvajana Sramika Rythu Congress Party",463139,"Andhra Pradesh","Rajahmundry",0
"DURGESH KANDULA","Indian National Congress",21243,"Andhra Pradesh","Rajahmundry",0
"MULLAPUDI SATYANARAYANA","Jai Samaikyandhra Party",11718,"Andhra Pradesh","Rajahmundry",0
"None of the Above","None of the Above",7456,"Andhra Pradesh","Rajahmundry",0
"MARRE BABJI","Bahujan Samaj Party",6079,"Andhra Pradesh","Rajahmundry",0
"KOLLABATHULA RICHMOND CAREY","Gareeb Aadmi Party",5481,"Andhra Pradesh","Rajahmundry",0
"ILLA GOVINDA RAJAN","Independent",1390,"Andhra Pradesh","Rajahmundry",0
"CHEEKATLA VENKATESWARA RAO","Independent",1356,"Andhra Pradesh","Rajahmundry",0
"SANGISETTI SRINIVASA RAO","Pyramid Party of India",1329,"Andhra Pradesh","Rajahmundry",0
"MUTYALA RAMBABU","Independent",1282,"Andhra Pradesh","Rajahmundry",0
"MEDA SRINIVAS","Rashtriya Praja Congress  (Secular)",991,"Andhra Pradesh","Rajahmundry",0
"PALLA VENKATA NAIDU(PRADEEP)","Independent",989,"Andhra Pradesh","Rajahmundry",0
"POLU PEDA VENGALA REDDY","Independent",765,"Andhra Pradesh","Rajahmundry",0
"ANNAMDEVULA DHARMA RAO","Independent",590,"Andhra Pradesh","Rajahmundry",0
"GOKARAJU GANGA RAJU","Bharatiya Janata Party",540306,"Andhra Pradesh","Narsapuram",1
"VANKA RAVINDRANATH","Yuvajana Sramika Rythu Congress Party",454955,"Andhra Pradesh","Narsapuram",0
"KANUMURU BAPI RAJU","Indian National Congress",27083,"Andhra Pradesh","Narsapuram",0
"GITADAS DAS","Prem Janata Dal",23270,"Andhra Pradesh","Narsapuram",0
"CHINTAPALLI KANAKA RAO","Bahujan Samaj Party",8489,"Andhra Pradesh","Narsapuram",0
"None of the Above","None of the Above",8004,"Andhra Pradesh","Narsapuram",0
"SAROJA  POLASAPALLI","Jai Samaikyandhra Party",6840,"Andhra Pradesh","Narsapuram",0
"NALLI RAJESH","Republican Paksha (Khoripa)",6708,"Andhra Pradesh","Narsapuram",0
"S.V.P.K.H.G.KRISHNAM RAJU","Pyramid Party of India",4232,"Andhra Pradesh","Narsapuram",0
"SHIVAJI GOTTUMUKKALA","Independent",2286,"Andhra Pradesh","Narsapuram",0
"BADAMPUDI SIVA","Independent",1605,"Andhra Pradesh","Narsapuram",0
"ADDANKI (SEKHAR BABU) DORABABU","Independent",1344,"Andhra Pradesh","Narsapuram",0
"VOLETI VENKATA LAKSHMANA RAO","Independent",1298,"Andhra Pradesh","Narsapuram",0
"VANGALAPUDI YASHYAA","Independent",1281,"Andhra Pradesh","Narsapuram",0
"MEDAPATI  VARAHALA REDDY","Independent",1250,"Andhra Pradesh","Narsapuram",0
"MAGANTI VENKATESWARA RAO (BABU)","Telugu Desam",623471,"Andhra Pradesh","Eluru",1
"THOTA CHANDRA SEKHAR","Yuvajana Sramika Rythu Congress Party",521545,"Andhra Pradesh","Eluru",0
"MUSUNURI NAGESWARA RAO","Indian National Congress",11770,"Andhra Pradesh","Eluru",0
"NETALA RAMESH BABU","Bahujan Samaj Party",11670,"Andhra Pradesh","Eluru",0
"None of the Above","None of the Above",7544,"Andhra Pradesh","Eluru",0
"GOVADA VIJAYA KUMARI","Prem Janata Dal",4483,"Andhra Pradesh","Eluru",0
"U VENKATESWARARAO (U.V)","Independent",3971,"Andhra Pradesh","Eluru",0
"MENDEM SANTOSH KUMAR ( PEDABABULU)","Indian Labour Party (Ambedkar Phule)",3423,"Andhra Pradesh","Eluru",0
"K.V.V.SATYANARAYANA","Jai Samaikyandhra Party",2873,"Andhra Pradesh","Eluru",0
"C.V.SARADA DEVI","Independent",2720,"Andhra Pradesh","Eluru",0
"SAVANAPUDI NAGARAJU","Marxist Communist Party of India (United)",2318,"Andhra Pradesh","Eluru",0
"U .V. RAMA RAO","Pyramid Party of India",1323,"Andhra Pradesh","Eluru",0
"K.VIJAYA LAKSHMI PANDIT","Independent",1320,"Andhra Pradesh","Eluru",0
"GANGADHARA RAO NANNAPANENI","Independent",1302,"Andhra Pradesh","Eluru",0
"ASHOK YANTRAPATI","Mahajana Socialist Party",1212,"Andhra Pradesh","Eluru",0
"JULURI BHASKARA VEERA VENKATA ANIL KUMAR GUPTA","Independent",751,"Andhra Pradesh","Eluru",0
"KONAKALLA NARAYANA RAO","Telugu Desam",587280,"Andhra Pradesh","Machilipatnam",1
"KOLUSU PARTHA SARATHY","Yuvajana Sramika Rythu Congress Party",506223,"Andhra Pradesh","Machilipatnam",0
"SISTLA RAMESH","Indian National Congress",14111,"Andhra Pradesh","Machilipatnam",0
"None of the Above","None of the Above",8171,"Andhra Pradesh","Machilipatnam",0
"KAMMILI SRINIVAS","Jai Samaikyandhra Party",7692,"Andhra Pradesh","Machilipatnam",0
"VADAPALLI RAGHUNADH","Pyramid Party of India",4401,"Andhra Pradesh","Machilipatnam",0
"PRASADA RAO PEGGEM","Bahujan Samaj Party",4085,"Andhra Pradesh","Machilipatnam",0
"PARASA SRINIVASA RAO","Independent",3399,"Andhra Pradesh","Machilipatnam",0
"MOHAMMAD ISHAQ","Independent",1770,"Andhra Pradesh","Machilipatnam",0
"YUNDURI SUBRAMANYASWARA RAO (MANI)","Independent",1597,"Andhra Pradesh","Machilipatnam",0
"YARLAGADDA RAMA MOHAN RAO","Independent",1405,"Andhra Pradesh","Machilipatnam",0
"JAMPANA SRINIVASA GOUD","Independent",931,"Andhra Pradesh","Machilipatnam",0
"KESINENI SRINIVAS","Telugu Desam",592696,"Andhra Pradesh","Vijayawada",1
"KONERU RAJENDRA PRASAD","Yuvajana Sramika Rythu Congress Party",517834,"Andhra Pradesh","Vijayawada",0
"AVINASH DEVINENI","Indian National Congress",39751,"Andhra Pradesh","Vijayawada",0
"KAMBALA. SUBRAHMANYAM (SASTRY)","Welfare Party Of India",7538,"Andhra Pradesh","Vijayawada",0
"ISHWARYA LAKSHMI CHINNAM","Jai Samaikyandhra Party",5296,"Andhra Pradesh","Vijayawada",0
"None of the Above","None of the Above",5290,"Andhra Pradesh","Vijayawada",0
"CHIGURUPATI RAMALINGESWARA RAO","Bahujan Samaj Party",3579,"Andhra Pradesh","Vijayawada",0
"HAR MOHINDER SINGH SAHANI","Aam Aadmi Party",3088,"Andhra Pradesh","Vijayawada",0
"M.PHANI PRAKASH","Independent",2809,"Andhra Pradesh","Vijayawada",0
"RAJA KUMARI GUNDAPANENI","Pyramid Party of India",2570,"Andhra Pradesh","Vijayawada",0
"TATINENI SRINIVASA RAO","Independent",2456,"Andhra Pradesh","Vijayawada",0
"DASARI VENKATA NAGESH","Independent",1873,"Andhra Pradesh","Vijayawada",0
"SURAPANENI SARATBABU","Independent",1521,"Andhra Pradesh","Vijayawada",0
"YARAM KATAM RAJU","Independent",1402,"Andhra Pradesh","Vijayawada",0
"ALTAF ALI MOHAMED","Independent",1167,"Andhra Pradesh","Vijayawada",0
"KONERU RAMACHANDRA PRASAD","Independent",1096,"Andhra Pradesh","Vijayawada",0
"KONERU RAJENDRA PRASAD","Independent",1014,"Andhra Pradesh","Vijayawada",0
"CHATRAGADDA PRATAP","Independent",950,"Andhra Pradesh","Vijayawada",0
"SUNKARA KRISHNA MURTHY","Andhra Rastra Praja Samithi",803,"Andhra Pradesh","Vijayawada",0
"V.R.K.MURTHY.","Independent",748,"Andhra Pradesh","Vijayawada",0
"BOLISETTY HARIBABU","Independent",667,"Andhra Pradesh","Vijayawada",0
"AHMED ANSARI SYED","Independent",504,"Andhra Pradesh","Vijayawada",0
"P.V. KRISHNAIAH","Independent",423,"Andhra Pradesh","Vijayawada",0
"JAYADEV GALLA","Telugu Desam",618417,"Andhra Pradesh","Guntur",1
"BALASHOWRY VALLABHANENI","Yuvajana Sramika Rythu Congress Party",549306,"Andhra Pradesh","Guntur",0
"ABDUL WAHEED SHAIK","Indian National Congress",46818,"Andhra Pradesh","Guntur",0
"None of the Above","None of the Above",7596,"Andhra Pradesh","Guntur",0
"MALLELA VENKATA RAO","Jai Samaikyandhra Party",5608,"Andhra Pradesh","Guntur",0
"MALLELA BABU RAO","Bahujan Samaj Party",4223,"Andhra Pradesh","Guntur",0
"UDAIA KUMAR MUSUKU","Indian Christian Secular Party",2852,"Andhra Pradesh","Guntur",0
"DR. KOUTHARAPU RAVINDRA","Great India Party",2594,"Andhra Pradesh","Guntur",0
"KATA VEERA VARA PRASAD","Aam Aadmi Party",2344,"Andhra Pradesh","Guntur",0
"ABBURI KOTESWARA RAO","Pyramid Party of India",1636,"Andhra Pradesh","Guntur",0
"EMANI CHANDRA SEKHAR RAO","Navodyam Party",1455,"Andhra Pradesh","Guntur",0
"BITRA VENKATA SIVANNARAYANA","Independent",1169,"Andhra Pradesh","Guntur",0
"ARUDALA VENKATESWARA RAO","Independent",908,"Andhra Pradesh","Guntur",0
"SAMBASIVA RAO RAYAPATI","Telugu Desam",632464,"Andhra Pradesh","Narasaraopet",1
"AYODHYA RAMIREDDY ALLA","Yuvajana Sramika Rythu Congress Party",597184,"Andhra Pradesh","Narasaraopet",0
"KONDAPALLI VENKATESWARLU","Indian National Congress",22943,"Andhra Pradesh","Narasaraopet",0
"AKKI REDDY BHIMANADULA","Pyramid Party of India",7032,"Andhra Pradesh","Narasaraopet",0
"None of the Above","None of the Above",5985,"Andhra Pradesh","Narasaraopet",0
"YELURI SRILATHA","Jai Samaikyandhra Party",5142,"Andhra Pradesh","Narasaraopet",0
"MEKALA HANUMANTHA RAO YADAV","Bahujan Samaj Party",4911,"Andhra Pradesh","Narasaraopet",0
"ROSAIAH SIVAPARAPU","Marxist Communist Party of India (United)",1877,"Andhra Pradesh","Narasaraopet",0
"KANUMURI KOTESWARA RAO","Independent",1404,"Andhra Pradesh","Narasaraopet",0
"PARUVURI RAMESH","Independent",1118,"Andhra Pradesh","Narasaraopet",0
"RAVU SUBRAHMANYAM","Independent",1025,"Andhra Pradesh","Narasaraopet",0
"JANGALA SINGARAIAH YADAV","Independent",973,"Andhra Pradesh","Narasaraopet",0
"MALYADRI SRIRAM","Telugu Desam",578145,"Andhra Pradesh","Bapatla",1
"VARIKUTI AMRUTHAPANI","Yuvajana Sramika Rythu Congress Party",545391,"Andhra Pradesh","Bapatla",0
"PANABAKA LAKSHMI","Indian National Congress",23072,"Andhra Pradesh","Bapatla",0
"YALLAMATI RAMESH","Pyramid Party of India",8414,"Andhra Pradesh","Bapatla",0
"DWARAPALLI PHILIP","Bahujan Samaj Party",8113,"Andhra Pradesh","Bapatla",0
"None of the Above","None of the Above",6146,"Andhra Pradesh","Bapatla",0
"EDA CHENNAIAH","Aam Aadmi Party",3948,"Andhra Pradesh","Bapatla",0
"R.D.WILSON","Jai Samaikyandhra Party",3657,"Andhra Pradesh","Bapatla",0
"PERLI PRASANNA DEEVENA KUMAR (PRASANNA)","Indian Labour Party (Ambedkar Phule)",2967,"Andhra Pradesh","Bapatla",0
"RATNABABU MAMIDI","Independent",1206,"Andhra Pradesh","Bapatla",0
"BABURAO GOLLA","Independent",823,"Andhra Pradesh","Bapatla",0
"GADDE THYAGARAJU","Independent",749,"Andhra Pradesh","Bapatla",0
"GOGULAMUDI NARASIMHA RAO","Independent",720,"Andhra Pradesh","Bapatla",0
"BANDELA NAGESWARA RAO","Independent",668,"Andhra Pradesh","Bapatla",0
"NAKKALA VEERANJANEYULU","Independent",615,"Andhra Pradesh","Bapatla",0
"Y.V.SUBBA REDDY","Yuvajana Sramika Rythu Congress Party",589960,"Andhra Pradesh","Ongole",1
"MAGUNTA SREENIVASULU REDDY","Telugu Desam",574302,"Andhra Pradesh","Ongole",0
"DARISI PAVAN KUMAR","Indian National Congress",13357,"Andhra Pradesh","Ongole",0
"KRISHNA RAO VEMULA","Bahujan Samaj Party",5863,"Andhra Pradesh","Ongole",0
"None of the Above","None of the Above",5781,"Andhra Pradesh","Ongole",0
"S.S.N.RAJA YADAV","Aam Aadmi Party",4299,"Andhra Pradesh","Ongole",0
"GOLLAPALLI KISHORE KUMAR REDDY","Jai Samaikyandhra Party",3724,"Andhra Pradesh","Ongole",0
"KAVURI VENUBABU NAIDU","Independent",3207,"Andhra Pradesh","Ongole",0
"RADHAKRISHNA SOMISETTY","Independent",1936,"Andhra Pradesh","Ongole",0
"PAMMI VENKA REDDY","Pyramid Party of India",1387,"Andhra Pradesh","Ongole",0
"BELLAMKONDA VENKATRAO","Independent",1001,"Andhra Pradesh","Ongole",0
"CHAPALA VENKATA RAO","Independent",880,"Andhra Pradesh","Ongole",0
"KIRAN DASARANNA MATTEGUNTA","Independent",755,"Andhra Pradesh","Ongole",0
"B. BALAJEE RAO","Independent",657,"Andhra Pradesh","Ongole",0
"PIDAPARTHI MADHUSUDHANA REDDY","Independent",624,"Andhra Pradesh","Ongole",0
"DAMA MOHAN RAO","Independent",492,"Andhra Pradesh","Ongole",0
"S.P.Y REDDY","Yuvajana Sramika Rythu Congress Party",622411,"Andhra Pradesh","Nandyal",1
"N.MD.FAROOK","Telugu Desam",516645,"Andhra Pradesh","Nandyal",0
"B.Y.RAMAIAH","Indian National Congress",16378,"Andhra Pradesh","Nandyal",0
"OBULESU THUDUM","Bahujan Samaj Party",11784,"Andhra Pradesh","Nandyal",0
"NOSSAM MALLIKARJUNA REDDY","Jai Samaikyandhra Party",7189,"Andhra Pradesh","Nandyal",0
"None of the Above","None of the Above",7115,"Andhra Pradesh","Nandyal",0
"P.V.N. REDDY","All India Majlis-E-Ittehadul Muslimeen",5598,"Andhra Pradesh","Nandyal",0
"M RAMANA REDDY","Independent",5400,"Andhra Pradesh","Nandyal",0
"K.P.KAMBAGIRI SWAMI","Independent",2708,"Andhra Pradesh","Nandyal",0
"ULLAGI DAVID JAYA KUMAR","Aam Aadmi Party",2499,"Andhra Pradesh","Nandyal",0
"VANGALA SREENIVASA REDDY","Independent",2437,"Andhra Pradesh","Nandyal",0
"GADDALA BALASWAMY","Independent",1495,"Andhra Pradesh","Nandyal",0
"PIDISELA VIJAY KUMAR","Independent",1325,"Andhra Pradesh","Nandyal",0
"I.V PAKKIRA REDDY","Independent",1036,"Andhra Pradesh","Nandyal",0
"P.NARENDRA DEV","Independent",936,"Andhra Pradesh","Nandyal",0
"BUTTA RENUKA","Yuvajana Sramika Rythu Congress Party",472782,"Andhra Pradesh","Kurnool",1
"B.T. NAIDU","Telugu Desam",428651,"Andhra Pradesh","Kurnool",0
"KOTLA JAYASURYAPRAKASH REDDY","Indian National Congress",116603,"Andhra Pradesh","Kurnool",0
"NOOR AHMED MADANI","Socialistic Democratic Party",11393,"Andhra Pradesh","Kurnool",0
"None of the Above","None of the Above",9385,"Andhra Pradesh","Kurnool",0
"VISSA KIRAN KUMAR","Aam Aadmi Party",6522,"Andhra Pradesh","Kurnool",0
"R.J.MALLIKAL","Bahujan Samaj Party",5746,"Andhra Pradesh","Kurnool",0
